,n_period,threshold,cutoff,return,drawdown,sharpe,,Row Labels,Average of return,,,
1922,200,2.3,0.6,0.476853233,8.776938858,-0.244294056,,,,,,
1923,200,2.3,0.7,0.476853233,8.776938858,-0.244294056,,,,,,
1924,200,2.3,0.8,0.476853233,8.776938858,-0.244294056,,,,,,
1925,200,2.3,0.9,0.476853233,8.776938858,-0.244294056,,,,,,
2457,230,2.3,0.1,0.400642104,9.431949685,-0.246068137,,,,,,
2458,230,2.3,0.2,0.400642104,9.431949685,-0.246068137,,,,,,
2459,230,2.3,0.3,0.400642104,9.431949685,-0.246068137,,,,,,
2460,230,2.3,0.4,0.400642104,9.431949685,-0.246068137,,,,,,
2461,230,2.3,0.5,0.400642104,9.431949685,-0.246068137,,,,,,
2462,230,2.3,0.6,0.400642104,9.431949685,-0.246068137,,,,,,
2463,230,2.3,0.7,0.400642104,9.431949685,-0.246068137,,,,,,
2464,230,2.3,0.8,0.400642104,9.431949685,-0.246068137,,,,,,
2465,230,2.3,0.9,0.400642104,9.431949685,-0.246068137,,,,,,
2079,210,2.1,0.1,0.468388937,8.776613205,-0.248291821,,,,,,
2080,210,2.1,0.2,0.468388937,8.776613205,-0.248291821,,,,,,
2081,210,2.1,0.3,0.468388937,8.776613205,-0.248291821,,,,,,
2082,210,2.1,0.4,0.468388937,8.776613205,-0.248291821,,,,,,
2083,210,2.1,0.5,0.468388937,8.776613205,-0.248291821,,,,,,
2084,210,2.1,0.6,0.468388937,8.776613205,-0.248291821,,,,,,
2085,210,2.1,0.7,0.468388937,8.776613205,-0.248291821,,,,,,
2086,210,2.1,0.8,0.468388937,8.776613205,-0.248291821,,,,,,
2087,210,2.1,0.9,0.468388937,8.776613205,-0.248291821,,,,,,
1746,190,2.4,0.1,0.442950046,8.747955214,-0.249566409,,,,,,
1747,190,2.4,0.2,0.442950046,8.747955214,-0.249566409,,,,,,
1748,190,2.4,0.3,0.442950046,8.747955214,-0.249566409,,,,,,
1749,190,2.4,0.4,0.442950046,8.747955214,-0.249566409,,,,,,
1750,190,2.4,0.5,0.442950046,8.747955214,-0.249566409,,,,,,
1751,190,2.4,0.6,0.442950046,8.747955214,-0.249566409,,,,,,
1752,190,2.4,0.7,0.442950046,8.747955214,-0.249566409,,,,,,
1753,190,2.4,0.8,0.442950046,8.747955214,-0.249566409,,,,,,
1754,190,2.4,0.9,0.442950046,8.747955214,-0.249566409,,,,,,
1359,170,2.1,0.1,0.480493747,7.752664506,-0.253551295,,,,,,
1360,170,2.1,0.2,0.480493747,7.752664506,-0.253551295,,,,,,
1361,170,2.1,0.3,0.480493747,7.752664506,-0.253551295,,,,,,
1362,170,2.1,0.4,0.480493747,7.752664506,-0.253551295,,,,,,
1363,170,2.1,0.5,0.480493747,7.752664506,-0.253551295,,,,,,
1364,170,2.1,0.6,0.480493747,7.752664506,-0.253551295,,,,,,
1365,170,2.1,0.7,0.480493747,7.752664506,-0.253551295,,,,,,
1366,170,2.1,0.8,0.480493747,7.752664506,-0.253551295,,,,,,
1367,170,2.1,0.9,0.480493747,7.752664506,-0.253551295,,,,,,
1728,190,2.2,0.1,0.451479091,8.776047224,-0.254749418,,,,,,
1729,190,2.2,0.2,0.451479091,8.776047224,-0.254749418,,,,,,
1730,190,2.2,0.3,0.451479091,8.776047224,-0.254749418,,,,,,
1731,190,2.2,0.4,0.451479091,8.776047224,-0.254749418,,,,,,
1732,190,2.2,0.5,0.451479091,8.776047224,-0.254749418,,,,,,
1733,190,2.2,0.6,0.451479091,8.776047224,-0.254749418,,,,,,
1734,190,2.2,0.7,0.451479091,8.776047224,-0.254749418,,,,,,
1735,190,2.2,0.8,0.451479091,8.776047224,-0.254749418,,,,,,
1736,190,2.2,0.9,0.451479091,8.776047224,-0.254749418,,,,,,
2475,230,2.5,0.1,0.349925575,9.415027408,-0.255422926,,,,,,
2476,230,2.5,0.2,0.349925575,9.415027408,-0.255422926,,,,,,
2477,230,2.5,0.3,0.349925575,9.415027408,-0.255422926,,,,,,
2478,230,2.5,0.4,0.349925575,9.415027408,-0.255422926,,,,,,
2479,230,2.5,0.5,0.349925575,9.415027408,-0.255422926,,,,,,
2480,230,2.5,0.6,0.349925575,9.415027408,-0.255422926,,,,,,
2481,230,2.5,0.7,0.349925575,9.415027408,-0.255422926,,,,,,
2482,230,2.5,0.8,0.349925575,9.415027408,-0.255422926,,,,,,
2483,230,2.5,0.9,0.349925575,9.415027408,-0.255422926,,,,,,
486,120,2.4,0.1,0.698744387,4.789014523,-0.257808705,,,,,,
487,120,2.4,0.2,0.698744387,4.789014523,-0.257808705,,,,,,
488,120,2.4,0.3,0.698744387,4.789014523,-0.257808705,,,,,,
489,120,2.4,0.4,0.698744387,4.789014523,-0.257808705,,,,,,
490,120,2.4,0.5,0.698744387,4.789014523,-0.257808705,,,,,,
491,120,2.4,0.6,0.698744387,4.789014523,-0.257808705,,,,,,
492,120,2.4,0.7,0.698744387,4.789014523,-0.257808705,,,,,,
