<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.05.22	17:00:00	1.07088	1.07144	1.06989	1.07079	6178	4766155274	51
2017.05.22	18:00:00	1.07078	1.07125	1.06917	1.06935	5020	3931487839	51
2017.05.22	19:00:00	1.06935	1.06938	1.06804	1.06814	2762	2035249679	51
2017.05.22	20:00:00	1.06816	1.06904	1.06808	1.06895	2317	1792917925	51
2017.05.22	21:00:00	1.06893	1.06937	1.06855	1.06908	2671	1853035213	51
2017.05.22	22:00:00	1.06907	1.06926	1.06855	1.06857	2438	1787883104	51
2017.05.22	23:00:00	1.06858	1.06896	1.06795	1.06844	1905	1232481154	51
2017.05.23	00:00:00	1.06844	1.06883	1.06779	1.06843	1964	1371680466	52
2017.05.23	01:00:00	1.06840	1.06844	1.06693	1.06733	2249	1232850000	51
2017.05.23	02:00:00	1.06734	1.06751	1.06611	1.06621	3192	1518850000	51
2017.05.23	03:00:00	1.06621	1.06812	1.06605	1.06788	3501	2124718701	51
2017.05.23	04:00:00	1.06788	1.06848	1.06771	1.06788	3648	2373957859	51
2017.05.23	05:00:00	1.06787	1.06911	1.06768	1.06858	4213	4097631480	51
2017.05.23	06:00:00	1.06859	1.06881	1.06781	1.06822	2888	2028814599	51
2017.05.23	07:00:00	1.06823	1.06865	1.06766	1.06776	2958	2080336266	51
2017.05.23	08:00:00	1.06776	1.06782	1.06585	1.06586	3876	2361047428	51
2017.05.23	09:00:00	1.06585	1.06715	1.06552	1.06596	6687	4320772375	51
2017.05.23	10:00:00	1.06592	1.06630	1.06493	1.06581	6860	4757733918	51
2017.05.23	11:00:00	1.06581	1.06705	1.06558	1.06625	5787	5130925507	51
2017.05.23	12:00:00	1.06626	1.06656	1.06546	1.06559	4023	3135419372	51
2017.05.23	13:00:00	1.06557	1.06602	1.06477	1.06479	4723	3062833372	51
2017.05.23	14:00:00	1.06479	1.06600	1.06434	1.06571	4389	3463619137	51
2017.05.23	15:00:00	1.06571	1.06669	1.06563	1.06621	4809	3635622396	51
2017.05.23	16:00:00	1.06621	1.06625	1.06426	1.06470	5114	3888730954	51
2017.05.23	17:00:00	1.06472	1.06670	1.06460	1.06627	6577	4580719758	51
2017.05.23	18:00:00	1.06624	1.06794	1.06589	1.06692	7316	5648681791	51
2017.05.23	19:00:00	1.06693	1.06753	1.06679	1.06736	4985	3616075392	51
2017.05.23	20:00:00	1.06735	1.06737	1.06614	1.06634	3190	2122693194	51
2017.05.23	21:00:00	1.06634	1.06716	1.06624	1.06657	3636	2544568973	51
2017.05.23	22:00:00	1.06655	1.06751	1.06655	1.06735	3839	2899799004	51
2017.05.23	23:00:00	1.06736	1.06763	1.06556	1.06556	2395	1887347851	51
2017.05.24	00:00:00	1.06633	1.06680	1.06555	1.06597	1233	566500000	59
2017.05.24	01:00:00	1.06600	1.06646	1.06466	1.06529	2657	1650782241	51
2017.05.24	02:00:00	1.06526	1.06596	1.06520	1.06582	2253	1105782872	51
2017.05.24	03:00:00	1.06581	1.06608	1.06435	1.06491	5225	2765200000	51
2017.05.24	04:00:00	1.06490	1.06531	1.06351	1.06366	3689	2049304898	51
2017.05.24	05:00:00	1.06367	1.06437	1.06331	1.06331	2578	1464936064	51
2017.05.24	06:00:00	1.06329	1.06380	1.06269	1.06345	3471	2126646524	51
2017.05.24	07:00:00	1.06347	1.06479	1.06339	1.06405	3027	1751977658	51
2017.05.24	08:00:00	1.06405	1.06480	1.06382	1.06431	3767	2841549294	51
2017.05.24	09:00:00	1.06431	1.06503	1.06345	1.06381	4974	3920329075	51
2017.05.24	10:00:00	1.06381	1.06426	1.06314	1.06397	4621	2708374551	51
2017.05.24	11:00:00	1.06397	1.06463	1.06364	1.06412	4374	2585282888	51
2017.05.24	12:00:00	1.06412	1.06454	1.06296	1.06316	3875	2138299741	51
2017.05.24	13:00:00	1.06317	1.06354	1.06286	1.06304	3811	3432681010	51
2017.05.24	14:00:00	1.06306	1.06326	1.06221	1.06263	3378	2508055695	51
2017.05.24	15:00:00	1.06262	1.06358	1.06222	1.06332	4524	2939812985	51
2017.05.24	16:00:00	1.06332	1.06334	1.06234	1.06246	4894	3070026515	51
2017.05.24	17:00:00	1.06251	1.06424	1.06220	1.06401	8062	5384057125	51
2017.05.24	18:00:00	1.06400	1.06436	1.06281	1.06402	5031	3519431315	51
2017.05.24	19:00:00	1.06402	1.06402	1.06307	1.06318	3031	2342040671	52
2017.05.24	20:00:00	1.06318	1.06331	1.06274	1.06300	3034	2079654524	51
