<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.11.29	1.05411	1.05501	1.04968	1.05021	36860	0	2
2019.12.02	1.05199	1.05250	1.04721	1.04834	49391	0	4
2019.12.03	1.04834	1.05172	1.04793	1.04991	50961	0	5
2019.12.04	1.04997	1.05099	1.04681	1.04852	53765	0	0
2019.12.05	1.04873	1.04957	1.04239	1.04380	45384	0	0
2019.12.06	1.04393	1.04484	1.04051	1.04177	47552	0	2
2019.12.09	1.04148	1.04277	1.04044	1.04188	44201	0	10
2019.12.10	1.04187	1.04305	1.03967	1.04021	50578	0	11
2019.12.11	1.03999	1.04550	1.03874	1.04404	57953	0	4
2019.12.12	1.04404	1.04832	1.04333	1.04700	60069	0	0
2019.12.13	1.04700	1.04855	1.04076	1.04087	81062	0	2
2019.12.16	1.04210	1.04430	1.04111	1.04345	51260	0	9
2019.12.17	1.04345	1.04351	1.04004	1.04188	55062	0	0
2019.12.18	1.04166	1.04400	1.03646	1.04000	49560	0	0
2019.12.19	1.04000	1.04514	1.03989	1.04202	52479	0	0
2019.12.20	1.04202	1.04632	1.04123	1.04202	45055	0	10
2019.12.23	1.04431	1.04645	1.04257	1.04262	47801	0	8
2019.12.24	1.04262	1.04489	1.04108	1.04231	47213	0	7
2019.12.25	1.04231	1.04430	1.04170	1.04197	1695	0	28
2019.12.26	1.03964	1.04279	1.03964	1.04123	16352	0	12
2019.12.27	1.04102	1.04213	1.03674	1.03674	49681	0	9
2019.12.30	1.04195	1.04224	1.03915	1.03949	54492	0	1
2019.12.31	1.03949	1.04298	1.03919	1.04203	46313	0	0
2020.01.02	1.04328	1.04485	1.04027	1.04244	51544	0	6
2020.01.03	1.04244	1.04453	1.04143	1.04200	60742	0	3
2020.01.06	1.04206	1.04399	1.03923	1.03960	57108	0	0
2020.01.07	1.03958	1.04091	1.03384	1.03416	55810	0	6
2020.01.08	1.03414	1.03603	1.03148	1.03245	72228	0	4
2020.01.09	1.03245	1.03847	1.03210	1.03666	46279	0	8
2020.01.10	1.03668	1.04067	1.03583	1.03949	47622	0	0
2020.01.13	1.03849	1.04229	1.03844	1.04106	47581	0	8
2020.01.14	1.04094	1.04454	1.03985	1.04320	48152	0	5
2020.01.15	1.04311	1.04579	1.04119	1.04262	43402	0	9
2020.01.16	1.04262	1.04363	1.03823	1.03856	46725	0	5
2020.01.17	1.03855	1.04151	1.03722	1.03949	43046	0	8
2020.01.20	1.03860	1.04071	1.03849	1.03985	32085	0	9
2020.01.21	1.03985	1.04075	1.03681	1.03745	47586	0	11
2020.01.22	1.03741	1.03837	1.03635	1.03808	43737	0	7
2020.01.23	1.03816	1.04299	1.03354	1.03442	51792	0	0
2020.01.24	1.03443	1.03517	1.03178	1.03277	44213	0	0
2020.01.27	1.03336	1.03561	1.03070	1.03221	58267	0	8
2020.01.28	1.03220	1.03496	1.03191	1.03279	48240	0	2
2020.01.29	1.03295	1.03687	1.03137	1.03435	47637	0	0
2020.01.30	1.03448	1.03579	1.03294	1.03579	53518	0	4
2020.01.31	1.03567	1.03651	1.03392	1.03392	54591	0	4
2020.02.03	1.03258	1.03713	1.03258	1.03529	58617	0	8
2020.02.04	1.03526	1.04111	1.03484	1.03837	54554	0	0
2020.02.05	1.03811	1.04421	1.03659	1.04193	55568	0	0
2020.02.06	1.04192	1.04467	1.04092	1.04183	45766	0	8
2020.02.07	1.04183	1.04351	1.03928	1.04199	48820	0	0
2020.02.10	1.04049	1.04726	1.04046	1.04717	53269	0	6
2020.02.11	1.04717	1.05045	1.04658	1.04809	49304	0	4
2020.02.12	1.04784	1.04887	1.03969	1.04134	52048	0	0
2020.02.13	1.04140	1.04458	1.04038	1.04370	54038	0	0
2020.02.14	1.04372	1.04541	1.04258	1.04288	37568	0	10
2020.02.17	1.04205	1.04653	1.04204	1.04276	29502	0	10
2020.02.18	1.04269	1.04760	1.04140	1.04669	44369	0	7
2020.02.19	1.04645	1.04782	1.04530	1.04530	40692	0	9
2020.02.20	1.04520	1.04685	1.04282	1.04390	58094	0	0
2020.02.21	1.04427	1.04658	1.04281	1.04290	52153	0	0
2020.02.24	1.04293	1.04588	1.04092	1.04092	75800	0	2
2020.02.25	1.04091	1.04442	1.04087	1.04439	72012	0	7
2020.02.26	1.04420	1.04551	1.03946	1.03946	75134	0	0
2020.02.27	1.03926	1.04324	1.03848	1.04140	84255	0	6
2020.02.28	1.04100	1.04619	1.03882	1.04094	123551	0	0
2020.03.02	1.04312	1.04844	1.04214	1.04353	102492	0	5
2020.03.03	1.04418	1.05059	1.04059	1.04887	99204	0	0
2020.03.04	1.04887	1.05312	1.04725	1.05184	73584	0	0
2020.03.05	1.05184	1.05283	1.04635	1.04937	63648	0	0
2020.03.06	1.04937	1.04992	1.04231	1.04376	86370	0	0
2020.03.09	1.04186	1.05133	1.03505	1.03847	112061	0	0
2020.03.10	1.03848	1.04286	1.03291	1.03710	108665	0	0
2020.03.11	1.03678	1.03749	1.03028	1.03401	91186	0	0
2020.03.12	1.03398	1.03538	1.02098	1.02343	132720	0	0
2020.03.13	1.02294	1.02885	1.01545	1.01905	129352	0	0
2020.03.16	1.02766	1.02766	1.00192	1.01199	125039	0	0
2020.03.17	1.01095	1.01258	1.00321	1.00911	104922	0	0
2020.03.18	1.00890	1.01515	0.99935	1.00563	128413	0	0
2020.03.19	1.00563	1.01868	1.00223	1.01374	144028	0	0
2020.03.20	1.01227	1.02200	1.00723	1.01573	110217	0	0
2020.03.23	1.02349	1.02596	1.01358	1.01841	160303	0	0
